X,Y,yield
440780.387,5018891.04,87.11418
440775.387,5018888.54,103.58262
440777.887,5018888.54,87.85642
440780.387,5018888.54,70.51604
440782.887,5018888.54,57.97756
440770.387,5018886.04,107.85622
440772.887,5018886.04,112.38586
440775.387,5018886.04,104.02357
440777.887,5018886.04,85.42958
440780.387,5018886.04,64.72126
440782.887,5018886.04,49.51032
440785.387,5018886.04,46.49649
440765.387,5018883.54,75.02558
440767.887,5018883.54,92.47371
440770.387,5018883.54,108.02682
440772.887,5018883.54,116.49898
440775.387,5018883.54,111.16368
440777.887,5018883.54,93.51669
440780.387,5018883.54,72.0207
440782.887,5018883.54,54.80101
440785.387,5018883.54,49.12606
440787.887,5018883.54,54.26679
440762.887,5018881.04,47.28555
440765.387,5018881.04,66.06315
440767.887,5018881.04,87.66946
440770.387,5018881.04,107.24635
440772.887,5018881.04,120.48451
440775.387,5018881.04,121.02939
440777.887,5018881.04,107.91348
440780.387,5018881.04,88.37867
440782.887,5018881.04,70.25269
440785.387,5018881.04,60.47459
440787.887,5018881.04,61.83351
440757.887,5018878.54,24.4245
440760.387,5018878.54,29.89934
440762.887,5018878.54,41.39375
440765.387,5018878.54,59.67765
440767.887,5018878.54,82.45155
440770.387,5018878.54,105.11354
440772.887,5018878.54,122.41773
440775.387,5018878.54,129.12123
440777.887,5018878.54,122.74997
440780.387,5018878.54,107.42297
440782.887,5018878.54,90.14272
440785.387,5018878.54,77.72086
440787.887,5018878.54,74.63061
440790.387,5018878.54,78.82529
440752.887,5018876.04,30.06104
440755.387,5018876.04,28.93866
440757.887,5018876.04,27.26055
440760.387,5018876.04,29.18265
440762.887,5018876.04,37.69562
440765.387,5018876.04,54.12075
440767.887,5018876.04,76.61607
440770.387,5018876.04,101.10277
440772.887,5018876.04,121.06128
440775.387,5018876.04,133.25644
440777.887,5018876.04,133.72403
440780.387,5018876.04,124.03392
440782.887,5018876.04,109.42932
440785.387,5018876.04,96.65913
440787.887,5018876.04,90.65969
440790.387,5018876.04,91.83362
440792.887,5018876.04,98.45361
440750.387,5018873.54,37.5414
440752.887,5018873.54,38.70859
440755.387,5018873.54,37.7473
440757.887,5018873.54,33.40635
440760.387,5018873.54,30.46762
440762.887,5018873.54,34.34762
440765.387,5018873.54,47.60063
440767.887,5018873.54,69.35637
440770.387,5018873.54,93.98055
440772.887,5018873.54,115.9378
440775.387,5018873.54,132.38818
440777.887,5018873.54,139.27827
440780.387,5018873.54,134.94347
440782.887,5018873.54,124.36086
440785.387,5018873.54,114.09215
440787.887,5018873.54,107.0711
440790.387,5018873.54,106.42202
440792.887,5018873.54,110.32452
440750.387,5018871.04,48.85898
440752.887,5018871.04,51.23173
440755.387,5018871.04,49.64965
440757.887,5018871.04,42.32685
440760.387,5018871.04,34.32793
440762.887,5018871.04,32.15974
440765.387,5018871.04,41.31137
440767.887,5018871.04,61.09125
440770.387,5018871.04,85.63058
440772.887,5018871.04,107.93391
440775.387,5018871.04,127.19992
440777.887,5018871.04,139.19714
440780.387,5018871.04,141.86694
440782.887,5018871.04,137.05609
440785.387,5018871.04,127.92061
440787.887,5018871.04,121.32156
440790.387,5018871.04,119.04475
440792.887,5018871.04,121.21105
440795.387,5018871.04,127.36077
440750.387,5018868.54,62.28142
440752.887,5018868.54,65.29733
440755.387,5018868.54,62.94593
440757.887,5018868.54,53.21899
440760.387,5018868.54,40.93799
440762.887,5018868.54,33.71076
440765.387,5018868.54,37.68416
440767.887,5018868.54,54.07274
