X,Y,yield
439334.949,5019072.894,180.7285
439337.449,5019072.894,178.18288
439339.949,5019072.894,172.88594
439342.449,5019072.894,166.05962
439344.949,5019072.894,158.57753
439347.449,5019072.894,151.17516
439349.949,5019072.894,146.09601
439352.449,5019072.894,144.63069
439354.949,5019072.894,147.82407
439357.449,5019072.894,153.73511
439359.949,5019072.894,160.52649
439362.449,5019072.894,167.0309
439364.949,5019072.894,172.40868
439367.449,5019072.894,176.01497
439312.449,5019070.394,161.54497
439314.949,5019070.394,162.3046
439317.449,5019070.394,163.15208
439319.949,5019070.394,165.28621
439322.449,5019070.394,169.40204
439324.949,5019070.394,174.94156
439327.449,5019070.394,181.02496
439329.949,5019070.394,186.4238
439332.449,5019070.394,189.68105
439334.949,5019070.394,189.89534
439337.449,5019070.394,186.86172
439339.949,5019070.394,180.86873
439342.449,5019070.394,173.24991
439344.949,5019070.394,165.28287
439347.449,5019070.394,158.02628
439349.949,5019070.394,153.38892
439352.449,5019070.394,152.86885
439354.949,5019070.394,155.548
439357.449,5019070.394,160.15747
439359.949,5019070.394,165.6693
439362.449,5019070.394,171.30136
439364.949,5019070.394,176.54652
439367.449,5019070.394,180.56026
439369.949,5019070.394,182.3441
439372.449,5019070.394,181.21191
439374.949,5019070.394,177.36931
439377.449,5019070.394,172.70232
439379.949,5019070.394,168.63834
439382.449,5019070.394,166.99994
439384.949,5019070.394,166.94873
439387.449,5019070.394,167.97211
439389.949,5019070.394,169.31857
439392.449,5019070.394,170.19637
439394.949,5019070.394,169.96439
439397.449,5019070.394,168.20364
439399.949,5019070.394,165.033
439299.949,5019067.894,156.27068
439302.449,5019067.894,159.17426
439304.949,5019067.894,160.36491
439307.449,5019067.894,162.66272
439309.949,5019067.894,165.12683
439312.449,5019067.894,168.00334
439314.949,5019067.894,171.10571
439317.449,5019067.894,174.15535
439319.949,5019067.894,177.79713
439322.449,5019067.894,182.14537
439324.949,5019067.894,186.91362
439327.449,5019067.894,191.4081
439329.949,5019067.894,194.99104
439332.449,5019067.894,196.82349
439334.949,5019067.894,196.40025
439337.449,5019067.894,193.62296
439339.949,5019067.894,188.48706
439342.449,5019067.894,181.29526
439344.949,5019067.894,174.35364
439347.449,5019067.894,168.02525
439349.949,5019067.894,163.40424
439352.449,5019067.894,161.33961
439354.949,5019067.894,161.21327
439357.449,5019067.894,162.26584
439359.949,5019067.894,164.24911
439362.449,5019067.894,167.26704
439364.949,5019067.894,171.4357
439367.449,5019067.894,176.05965
439369.949,5019067.894,179.76041
439372.449,5019067.894,181.33559
439374.949,5019067.894,180.40288
439377.449,5019067.894,177.88779
439379.949,5019067.894,175.40092
439382.449,5019067.894,173.62755
439384.949,5019067.894,172.91797
439387.449,5019067.894,173.18781
439389.949,5019067.894,173.98431
439392.449,5019067.894,174.73843
439394.949,5019067.894,174.84523
439397.449,5019067.894,173.92403
439399.949,5019067.894,171.83865
439402.449,5019067.894,168.60475
439404.949,5019067.894,164.35167
439407.449,5019067.894,159.4174
439409.949,5019067.894,154.53438
439412.449,5019067.894,150.45891
439414.949,5019067.894,147.07956
439417.449,5019067.894,144.33226
439419.949,5019067.894,143.08147
439422.449,5019067.894,142.67735
