X,Y,yield
440620.082,5019037.34,103.41363
440622.582,5019037.34,103.76887
440625.082,5019037.34,105.4264
440627.582,5019037.34,102.73518
440617.582,5019034.84,102.8423
440620.082,5019034.84,104.02292
440622.582,5019034.84,104.51102
440625.082,5019034.84,107.26104
440627.582,5019034.84,104.989
440630.082,5019034.84,102.09388
440632.582,5019034.84,99.21088
440635.082,5019034.84,95.08128
440637.582,5019034.84,89.17664
440617.582,5019032.34,103.16932
440620.082,5019032.34,104.55802
440622.582,5019032.34,105.44695
440625.082,5019032.34,109.34696
440627.582,5019032.34,107.81805
440630.082,5019032.34,105.48899
440632.582,5019032.34,101.7908
440635.082,5019032.34,97.74315
440637.582,5019032.34,91.71308
440640.082,5019032.34,83.82378
440642.582,5019032.34,76.24922
440645.082,5019032.34,69.84869
440647.582,5019032.34,69.13975
440617.582,5019029.84,103.54888
440620.082,5019029.84,104.21485
440622.582,5019029.84,106.36713
440625.082,5019029.84,111.45547
440627.582,5019029.84,110.96572
440630.082,5019029.84,108.84477
440632.582,5019029.84,107.05927
440635.082,5019029.84,103.31556
440637.582,5019029.84,97.69481
440640.082,5019029.84,91.07765
440642.582,5019029.84,84.72036
440645.082,5019029.84,79.59644
440647.582,5019029.84,79.06519
440650.082,5019029.84,77.992
440652.582,5019029.84,81.13368
440655.082,5019029.84,84.83344
440657.582,5019029.84,88.0566
440615.082,5019027.34,104.28257
440617.582,5019027.34,103.63198
440620.082,5019027.34,104.37016
440622.582,5019027.34,106.83745
440625.082,5019027.34,113.36751
440627.582,5019027.34,114.05591
440630.082,5019027.34,114.01693
440632.582,5019027.34,114.01195
440635.082,5019027.34,111.81686
440637.582,5019027.34,106.95277
440640.082,5019027.34,101.3115
440642.582,5019027.34,96.22124
440645.082,5019027.34,92.22623
440647.582,5019027.34,89.97649
440650.082,5019027.34,89.28342
440652.582,5019027.34,89.49213
440655.082,5019027.34,89.71902
440657.582,5019027.34,88.80359
440660.082,5019027.34,86.31842
440662.582,5019027.34,82.3051
440665.082,5019027.34,78.50246
440667.582,5019027.34,76.33573
440615.082,5019024.84,104.04711
440617.582,5019024.84,103.7802
440620.082,5019024.84,104.08712
440622.582,5019024.84,106.18966
440625.082,5019024.84,114.15628
440627.582,5019024.84,115.66232
440630.082,5019024.84,117.22552
440632.582,5019024.84,118.74353
440635.082,5019024.84,118.70107
440637.582,5019024.84,115.04186
440640.082,5019024.84,110.3959
440642.582,5019024.84,106.54847
440645.082,5019024.84,103.50017
440647.582,5019024.84,100.78357
440650.082,5019024.84,99.39439
440652.582,5019024.84,96.51408
440655.082,5019024.84,92.2664
440657.582,5019024.84,87.15607
440660.082,5019024.84,81.01595
440662.582,5019024.84,74.60414
440665.082,5019024.84,69.57659
440667.582,5019024.84,67.4193
440670.082,5019024.84,67.674
440672.582,5019024.84,69.07206
440675.082,5019024.84,69.64262
440677.582,5019024.84,68.85358
440615.082,5019022.34,104.68572
440617.582,5019022.34,103.12631
440620.082,5019022.34,103.45209
440622.582,5019022.34,105.21973
440625.082,5019022.34,115.01738
440627.582,5019022.34,112.58
440630.082,5019022.34,116.58979
440632.582,5019022.34,119.35207
440635.082,5019022.34,120.2725
440637.582,5019022.34,118.09083
440640.082,5019022.34,114.16386
440642.582,5019022.34,110.87325
440645.082,5019022.34,108.77544
440647.582,5019022.34,106.8627
440650.082,5019022.34,104.37943
440652.582,5019022.34,99.77714
440655.082,5019022.34,92.94186
440657.582,5019022.34,84.86787
440660.082,5019022.34,76.48889
440662.582,5019022.34,68.64665
440665.082,5019022.34,62.99455
440667.582,5019022.34,60.64885
440670.082,5019022.34,61.39196
440672.582,5019022.34,63.90331
440675.082,5019022.34,66.1583
440677.582,5019022.34,67.37406
440680.082,5019022.34,66.8331
440682.582,5019022.34,66.06879
440685.082,5019022.34,65.38752
440687.582,5019022.34,65.19975
440615.082,5019019.84,106.32848
440617.582,5019019.84,103.63643
440620.082,5019019.84,102.5727
440622.582,5019019.84,103.71886
440625.082,5019019.84,105.79446
440627.582,5019019.84,107.28878
440630.082,5019019.84,111.71163
440632.582,5019019.84,114.98909
440635.082,5019019.84,116.81475
440637.582,5019019.84,116.28995
440640.082,5019019.84,112.97588
440642.582,5019019.84,109.57458
440645.082,5019019.84,107.17114
440647.582,5019019.84,105.29072
440650.082,5019019.84,102.84132
440652.582,5019019.84,98.52476
440655.082,5019019.84,91.44897
440657.582,5019019.84,83.13931
440660.082,5019019.84,74.80837
440662.582,5019019.84,67.3008
440665.082,5019019.84,62.00553
440667.582,5019019.84,59.78057
440670.082,5019019.84,60.54499
440672.582,5019019.84,63.40469
440675.082,5019019.84,66.64703
440677.582,5019019.84,67.17271
440680.082,5019019.84,64.71796
440682.582,5019019.84,65.87737
440685.082,5019019.84,65.01769
440687.582,5019019.84,60.84177
440690.082,5019019.84,62.91062
440692.582,5019019.84,64.66225
440695.082,5019019.84,63.32497
440612.582,5019017.34,110.04362
440615.082,5019017.34,107.27402
440617.582,5019017.34,104.19847
440620.082,5019017.34,102.02115
440622.582,5019017.34,110.56283
440625.082,5019017.34,98.87234
440627.582,5019017.34,99.68833
440630.082,5019017.34,101.01931
440632.582,5019017.34,106.03955
440635.082,5019017.34,109.98457
440637.582,5019017.34,111.82233
440640.082,5019017.34,110.34191
440642.582,5019017.34,106.87088
440645.082,5019017.34,103.49037
440647.582,5019017.34,100.80549
440650.082,5019017.34,98.30397
440652.582,5019017.34,94.57776
440655.082,5019017.34,88.49393
440657.582,5019017.34,81.08768
440660.082,5019017.34,73.91426
440662.582,5019017.34,67.72172
440665.082,5019017.34,63.77986
440667.582,5019017.34,62.80013
440670.082,5019017.34,64.66114
440672.582,5019017.34,67.85667
440675.082,5019017.34,70.39354
440677.582,5019017.34,70.52309
440680.082,5019017.34,68.18977
440682.582,5019017.34,64.75602
440685.082,5019017.34,61.8372
440687.582,5019017.34,60.36517
440690.082,5019017.34,59.87677
440692.582,5019017.34,59.28195
440695.082,5019017.34,59.59973
440697.582,5019017.34,58.84666
440700.082,5019017.34,59.26359
440702.582,5019017.34,60.23753
440612.582,5019014.84,112.12884
440615.082,5019014.84,109.01668
440617.582,5019014.84,105.45767
440620.082,5019014.84,102.44636
440622.582,5019014.84,97.73557
440625.082,5019014.84,94.26722
440627.582,5019014.84,91.07633
440630.082,5019014.84,90.12
440632.582,5019014.84,94.83583
