X,Y,yield
440509.261,5018903.414,108.55564
440511.761,5018903.414,104.52156
440514.261,5018903.414,100.84782
440516.761,5018903.414,98.09299
440509.261,5018900.914,115.7777
440511.761,5018900.914,112.10131
440514.261,5018900.914,108.12423
440516.761,5018900.914,105.38689
440519.261,5018900.914,104.52705
440521.761,5018900.914,104.2943
440524.261,5018900.914,103.24265
440506.761,5018898.414,122.30613
440509.261,5018898.414,119.51223
440511.761,5018898.414,115.60213
440514.261,5018898.414,111.22501
440516.761,5018898.414,108.53799
440519.261,5018898.414,107.81431
440521.761,5018898.414,107.4949
440524.261,5018898.414,106.07524
440526.761,5018898.414,102.76726
440529.261,5018898.414,98.59898
440531.761,5018898.414,95.22412
440534.261,5018898.414,93.00482
440506.761,5018895.914,123.5274
440509.261,5018895.914,118.63146
440511.761,5018895.914,113.94617
440514.261,5018895.914,109.40565
440516.761,5018895.914,107.08425
440519.261,5018895.914,107.14979
440521.761,5018895.914,107.38429
440524.261,5018895.914,106.07858
440526.761,5018895.914,103.30441
440529.261,5018895.914,99.23293
440531.761,5018895.914,96.21305
440534.261,5018895.914,94.92411
440536.761,5018895.914,95.44811
440539.261,5018895.914,97.73309
440541.761,5018895.914,100.84655
440544.261,5018895.914,103.16933
440506.761,5018893.414,119.60574
440509.261,5018893.414,113.82033
440511.761,5018893.414,108.11046
440514.261,5018893.414,103.92005
440516.761,5018893.414,102.57332
440519.261,5018893.414,103.74313
440521.761,5018893.414,104.90549
440524.261,5018893.414,104.30779
440526.761,5018893.414,101.93156
440529.261,5018893.414,98.38967
440531.761,5018893.414,95.666
440534.261,5018893.414,94.69727
440536.761,5018893.414,95.93494
440539.261,5018893.414,99.06964
440541.761,5018893.414,102.81392
440544.261,5018893.414,105.63079
440506.761,5018890.914,113.28354
440509.261,5018890.914,106.39065
440511.761,5018890.914,100.23619
440514.261,5018890.914,98.22203
440516.761,5018890.914,98.25389
440519.261,5018890.914,100.17741
440521.761,5018890.914,101.97295
440524.261,5018890.914,101.93816
440526.761,5018890.914,99.57034
440529.261,5018890.914,96.40153
440531.761,5018890.914,93.86324
440534.261,5018890.914,93.03097
440536.761,5018890.914,94.50203
440539.261,5018890.914,97.6336
440541.761,5018890.914,101.74486
440504.261,5018888.414,112.20913
440506.761,5018888.414,105.95781
440509.261,5018888.414,99.03549
440511.761,5018888.414,94.32497
440514.261,5018888.414,94.01737
440516.761,5018888.414,95.70177
440519.261,5018888.414,98.25203
440521.761,5018888.414,99.7422
440524.261,5018888.414,99.62595
440526.761,5018888.414,97.60062
440529.261,5018888.414,95.30479
440531.761,5018888.414,93.28553
440534.261,5018888.414,91.93968
440536.761,5018888.414,92.41582
440539.261,5018888.414,94.11417
440541.761,5018888.414,97.04666
440504.261,5018885.914,107.77536
440506.761,5018885.914,101.36361
440509.261,5018885.914,95.92416
440511.761,5018885.914,93.79793
440514.261,5018885.914,96.08289
440516.761,5018885.914,98.58663
440519.261,5018885.914,100.00751
440521.761,5018885.914,99.99023
440524.261,5018885.914,99.67038
440526.761,5018885.914,99.0638
440529.261,5018885.914,98.51302
440531.761,5018885.914,96.87042
440534.261,5018885.914,94.07373
440536.761,5018885.914,91.58844
440539.261,5018885.914,90.62416
440541.761,5018885.914,91.79131
440504.261,5018883.414,105.76258
440506.761,5018883.414,101.48881
440509.261,5018883.414,98.75454
440511.761,5018883.414,98.71515
440514.261,5018883.414,101.04073
440516.761,5018883.414,103.0453
440519.261,5018883.414,103.50372
440521.761,5018883.414,102.11834
440524.261,5018883.414,101.54706
440526.761,5018883.414,102.73697
440529.261,5018883.414,99.72645
440531.761,5018883.414,98.88622
440534.261,5018883.414,97.01555
440536.761,5018883.414,93.17388
440539.261,5018883.414,89.82926
440541.761,5018883.414,87.17671
440501.761,5018880.914,110.6064
440504.261,5018880.914,106.92705
440506.761,5018880.914,104.33342
440509.261,5018880.914,102.95945
440511.761,5018880.914,103.67778
440514.261,5018880.914,106.27115
440516.761,5018880.914,107.50788
440519.261,5018880.914,106.50546
440521.761,5018880.914,104.16889
440524.261,5018880.914,102.53723
440526.761,5018880.914,103.57981
440529.261,5018880.914,105.03935
440531.761,5018880.914,106.24443
440534.261,5018880.914,99.3663
440536.761,5018880.914,96.25203
440539.261,5018880.914,92.79349
440501.761,5018878.414,113.8317
440504.261,5018878.414,111.02698
440506.761,5018878.414,109.56527
440509.261,5018878.414,108.84419
440511.761,5018878.414,109.20294
440514.261,5018878.414,110.27123
440516.761,5018878.414,110.59501
440519.261,5018878.414,109.16752
440521.761,5018878.414,106.76785
440524.261,5018878.414,104.53464
440526.761,5018878.414,104.85488
440529.261,5018878.414,106.06867
440531.761,5018878.414,106.91129
440534.261,5018878.414,105.99998
440536.761,5018878.414,99.64855
440539.261,5018878.414,97.38862
440501.761,5018875.914,118.0057
440504.261,5018875.914,116.46736
440506.761,5018875.914,115.46443
440509.261,5018875.914,114.08796
440511.761,5018875.914,112.92395
440514.261,5018875.914,112.42925
440516.761,5018875.914,111.69315
440519.261,5018875.914,110.7824
440521.761,5018875.914,108.91111
440524.261,5018875.914,106.17989
440526.761,5018875.914,104.14648
440529.261,5018875.914,103.96385
440531.761,5018875.914,105.1144
440534.261,5018875.914,106.06498
440536.761,5018875.914,104.82605
440539.261,5018875.914,102.42762
440499.261,5018873.414,124.10256
440501.761,5018873.414,123.08047
440504.261,5018873.414,121.52991
440506.761,5018873.414,119.46943
440509.261,5018873.414,117.17596
440511.761,5018873.414,114.95665
440514.261,5018873.414,113.5438
440516.761,5018873.414,112.95844
440519.261,5018873.414,112.63721
440521.761,5018873.414,111.62003
440524.261,5018873.414,109.28818
440526.761,5018873.414,106.19973
440529.261,5018873.414,104.29911
440531.761,5018873.414,105.02568
440534.261,5018873.414,106.80231
440536.761,5018873.414,108.11089
440539.261,5018873.414,107.52047
440499.261,5018870.914,127.67886
440501.761,5018870.914,126.81948
440504.261,5018870.914,125.43559
440506.761,5018870.914,122.5526
440509.261,5018870.914,119.7215
440511.761,5018870.914,117.4881
440514.261,5018870.914,115.55724
440516.761,5018870.914,115.82619
440519.261,5018870.914,116.34138
440521.761,5018870.914,116.09367
440524.261,5018870.914,114.33361
440526.761,5018870.914,112.07861
440529.261,5018870.914,109.82925
440531.761,5018870.914,110.06377
440534.261,5018870.914,111.8453
440536.761,5018870.914,113.47365
440499.261,5018868.414,129.51219
440501.761,5018868.414,128.73038
440504.261,5018868.414,126.79226
440506.761,5018868.414,124.76923
440509.261,5018868.414,121.76766
440511.761,5018868.414,119.38829
440514.261,5018868.414,118.58383
440516.761,5018868.414,119.33319
440519.261,5018868.414,120.83062
440521.761,5018868.414,121.2464
440524.261,5018868.414,120.14717
440526.761,5018868.414,118.32927
440529.261,5018868.414,116.25038
440531.761,5018868.414,116.52602
440534.261,5018868.414,118.05046
440536.761,5018868.414,119.25195
440496.761,5018865.914,131.18501
440499.261,5018865.914,129.80026
440501.761,5018865.914,127.92484
440504.261,5018865.914,127.26396
440506.761,5018865.914,124.42339
440509.261,5018865.914,122.36137
440511.761,5018865.914,120.64767
440514.261,5018865.914,121.19041
440516.761,5018865.914,122.89945
440519.261,5018865.914,125.54745
440521.761,5018865.914,126.91614
440524.261,5018865.914,126.0032
440526.761,5018865.914,123.86228
440529.261,5018865.914,121.83055
440531.761,5018865.914,121.22943
440534.261,5018865.914,121.72527
440536.761,5018865.914,122.18648
440496.761,5018863.414,129.62259
440499.261,5018863.414,129.64124
440501.761,5018863.414,127.90971
440504.261,5018863.414,125.61595
440506.761,5018863.414,123.37092
440509.261,5018863.414,121.79493
440511.761,5018863.414,121.21265
440514.261,5018863.414,122.36318
440516.761,5018863.414,125.83646
440519.261,5018863.414,130.35922
440521.761,5018863.414,132.65274
440524.261,5018863.414,131.26237
440526.761,5018863.414,128.10294
440529.261,5018863.414,125.49139
440531.761,5018863.414,123.86874
440534.261,5018863.414,123.26174
440536.761,5018863.414,122.85923
440496.761,5018860.914,130.4919
440499.261,5018860.914,128.59187
440501.761,5018860.914,125.9817
440504.261,5018860.914,123.3808
440506.761,5018860.914,121.15807
440509.261,5018860.914,119.97728
440511.761,5018860.914,120.49786
440514.261,5018860.914,121.42545
440516.761,5018860.914,126.48959
440519.261,5018860.914,131.93019
440521.761,5018860.914,135.05231
440524.261,5018860.914,127.82758
440526.761,5018860.914,126.8729
440529.261,5018860.914,126.49262
440531.761,5018860.914,124.28767
440534.261,5018860.914,122.63632
440496.761,5018858.414,130.21544
440499.261,5018858.414,127.36187
440501.761,5018858.414,123.88771
440504.261,5018858.414,120.86771
440506.761,5018858.414,119.20876
440509.261,5018858.414,119.1619
440511.761,5018858.414,116.04319
440514.261,5018858.414,119.66664
440516.761,5018858.414,125.436
440519.261,5018858.414,131.28148
440521.761,5018858.414,134.3376
440524.261,5018858.414,126.79607
440526.761,5018858.414,125.74036
440529.261,5018858.414,125.05415
440531.761,5018858.414,122.74934
440534.261,5018858.414,120.425
440494.261,5018855.914,125.99161
440496.761,5018855.914,130.78358
440499.261,5018855.914,126.0466
440501.761,5018855.914,120.06363
440504.261,5018855.914,114.7894
440506.761,5018855.914,118.30982
440509.261,5018855.914,117.99905
440511.761,5018855.914,113.17853
440514.261,5018855.914,117.15448
440516.761,5018855.914,123.03468
440519.261,5018855.914,128.57451
440521.761,5018855.914,131.32106
440524.261,5018855.914,130.70233
440526.761,5018855.914,127.40464
440529.261,5018855.914,122.01335
440531.761,5018855.914,120.08834
440534.261,5018855.914,117.98721
440494.261,5018853.414,134.32562
440496.761,5018853.414,130.06705
440499.261,5018853.414,122.97168
440501.761,5018853.414,115.57896
440504.261,5018853.414,110.24456
440506.761,5018853.414,108.33987
440509.261,5018853.414,109.13433
440511.761,5018853.414,110.97446
440514.261,5018853.414,115.07879
440516.761,5018853.414,120.40533
440519.261,5018853.414,124.80515
440521.761,5018853.414,126.26238
440524.261,5018853.414,124.69751
440526.761,5018853.414,121.32684
440529.261,5018853.414,118.10138
440531.761,5018853.414,116.75725
440494.261,5018850.914,133.8573
440496.761,5018850.914,127.60032
440499.261,5018850.914,119.1189
440501.761,5018850.914,111.33276
440504.261,5018850.914,106.77409
440506.761,5018850.914,106.43419
440509.261,5018850.914,108.16109
440511.761,5018850.914,110.63352
440514.261,5018850.914,114.39806
440516.761,5018850.914,118.35997
440519.261,5018850.914,120.79519
440521.761,5018850.914,120.33282
440524.261,5018850.914,117.57878
440526.761,5018850.914,114.33126
440529.261,5018850.914,112.46022
440531.761,5018850.914,112.59008
