X,Y,timestamp,moisture,speed,width,yield
440813.9599,5018772.846,2021-11-07T00:42:18,20.10000038,5.324999809,20.01000023,86.63529205
440829.6951,5018756.469,2021-11-07T00:46:02,22.70000076,5.345454693,20.01000023,86.67185211
440847.1456,5018756.137,2021-11-07T00:45:17,23.70000076,5.925000191,20.01000023,86.8809433
440824.8587,5018765.423,2021-11-07T00:46:06,21.89999962,5.795454502,20.01000023,87.11252594
440757.3998,5018864.71,2021-11-07T00:40:43,22,5.324999809,20.01000023,87.33301544
440827.9419,5018748.406,2021-11-07T00:42:06,22.5,4.786363602,20.01000023,87.39253235
440810.7235,5018791.551,2021-11-07T00:46:17,22.10000038,6.265909195,20.01000023,88.1681366
440771.5876,5018863.762,2021-11-07T00:46:46,22.5,6.422727108,20.01000023,88.22425842
440757.7116,5018900.945,2021-11-07T00:40:27,22.5,4.588636398,20.01000023,88.5083847
440763.0895,5018895.639,2021-11-07T00:43:24,22.5,3.531818151,20.01000023,88.82658386
440790.8127,5018815.161,2021-11-07T00:42:38,23.10000038,5.393181801,20.01000023,89.03981018
440768.6348,5018830.024,2021-11-07T00:37:10,22,5.324999809,20.01000023,90.09090424
440812.0679,5018789.093,2021-11-07T00:46:16,22,6.238636494,20.01000023,90.2365799
440796.2696,5018779.167,2021-11-07T00:37:34,22.5,5.413636208,20.01000023,90.29393005
440816.3134,5018744.173,2021-11-07T00:31:23,22.5,4.118181705,20.01000023,90.35194397
440834.3331,5018747.405,2021-11-07T00:45:57,24.79999924,3.599999905,17.48999977,90.74189758
440821.2701,5018796.201,2021-11-07T00:49:05,23.70000076,6.306818008,7.510000229,91.03612518
440791.9103,5018876.596,2021-11-07T00:34:52,24.10000038,2.8840909,20.01000023,91.66545105
440751.2938,5018863.039,2021-11-07T00:36:53,22,4.070454597,20.01000023,92.00109863
440824.1061,5018730.246,2021-11-07T00:31:32,22.20000076,3.156818151,20.01000023,92.02945709
440829.8817,5018729.742,2021-11-07T00:32:03,22,2.099999905,19,92.06189728
440832.8447,5018763.1,2021-11-07T00:48:04,22.5,6.129545689,20.01000023,92.44410706
440822.6005,5018793.744,2021-11-07T00:49:04,23.79999924,6.306818008,7.510000229,92.93718719
440758.3522,5018862.537,2021-11-07T00:40:44,21.89999962,5.324999809,20.01000023,92.96782684
440819.9259,5018798.687,2021-11-07T00:49:06,23.70000076,6.306818008,7.510000229,93.0591507
440777.8842,5018825.624,2021-11-07T00:41:01,22.10000038,5.638636589,20.01000023,93.20767975
440752.039,5018861.317,2021-11-07T00:36:54,21.79999924,4.206818104,20.01000023,93.33034515
440770.124,5018853.518,2021-11-07T00:42:56,22.20000076,5.461363792,20.01000023,93.4274826
440821.0689,5018735.614,2021-11-07T00:31:28,22.5,4.315908909,20.01000023,93.53784943
