X,Y,timestamp,moisture,speed,width,yield,inBoundary
440795.5619,5018717.221,2021-11-06T23:46:13,22.5,1.25454545,20.01000023,9.692485809,1
440795.3269,5018717.715,2021-11-06T23:46:14,22.5,1.227272749,20.01000023,35.66834641,1
440795.0922,5018718.251,2021-11-06T23:46:15,22.5,1.322727323,20.01000023,80.89728546,1
440794.788,5018718.886,2021-11-06T23:46:16,22.5,1.568181872,20.01000023,127.1654129,1
440794.4703,5018719.577,2021-11-06T23:46:17,22.39999962,1.697727323,20.01000023,164.9458923,1
440794.0966,5018720.326,2021-11-06T23:46:18,21.39999962,1.881818175,20.01000023,174.3196716,1
440793.6953,5018721.13,2021-11-06T23:46:19,20.70000076,1.9909091,20.01000023,172.4847565,1
440793.2659,5018721.949,2021-11-06T23:46:20,20.29999924,2.079545498,20.01000023,164.7632446,1
440792.8368,5018722.796,2021-11-06T23:46:21,20,2.147727251,20.01000023,158.9643097,1
440792.3382,5018723.743,2021-11-06T23:46:22,19.89999962,2.372727156,20.01000023,141.9512939,1
440791.8255,5018724.703,2021-11-06T23:46:23,19.79999924,2.481818199,20.01000023,123.7126465,1
440791.3684,5018725.564,2021-11-06T23:46:24,19.79999924,2.011363745,20.01000023,117.6146698,1
440791.036,5018726.2,2021-11-06T23:46:25,19.79999924,0.981818199,20.01000023,158.9223022,1
440790.8279,5018726.567,2021-11-06T23:46:26,19.79999924,0.381818175,20.01000023,290.0148926,1
440790.8003,5018726.623,2021-11-06T23:46:27,19.70000076,0.381818175,8.010000229,609.9933472,1
440794.4815,5018719.268,2021-11-06T23:46:34,20.29999924,1.097727299,8.010000229,56.91520691,1
440794.6199,5018719,2021-11-06T23:46:35,20.29999924,1.479545474,20.01000023,16.90362549,1
440794.4965,5018719.366,2021-11-06T23:46:36,20.39999962,2.195454597,2,125.2126694,1
440794.2086,5018720.24,2021-11-06T23:46:37,20.39999962,3.443181753,2,87.09662628,1
440793.7962,5018721.368,2021-11-06T23:46:38,20.5,3.197727203,2.49000001,81.50170135,1
440793.301,5018722.68,2021-11-06T23:46:39,20.5,3.12954545,2.49000001,115.3070831,1
440792.722,5018724.076,2021-11-06T23:46:40,20.5,3.402272701,2.49000001,182.6658325,1
440792.059,5018725.544,2021-11-06T23:46:41,20.39999962,3.599999905,2.49000001,340.1245728,1
440791.3118,5018727.054,2021-11-06T23:46:42,20.10000038,3.804545403,5.510000229,244.1122284,1
440790.5227,5018728.593,2021-11-06T23:46:43,19.70000076,3.872727156,20.01000023,87.18731689,1
440789.6774,5018730.161,2021-11-06T23:46:44,19.39999962,3.981818199,20.01000023,95.27846527,1
440788.818,5018731.729,2021-11-06T23:46:45,19.10000038,4.029545307,20.01000023,98.91040802,1
440787.9304,5018733.297,2021-11-06T23:46:46,18.79999924,4.029545307,20.01000023,101.8065491,1
440787.0428,5018734.865,2021-11-06T23:46:47,18.60000038,4.050000191,20.01000023,101.5418625,1
440786.1414,5018736.461,2021-11-06T23:46:48,18.5,4.090909004,20.01000023,98.7744751,1
440785.2261,5018738.085,2021-11-06T23:46:49,18.5,4.206818104,20.01000023,93.01332855,1
440784.2693,5018739.781,2021-11-06T23:46:50,21.10000038,4.315908909,20.01000023,84.90167999,1
440783.3125,5018741.49,2021-11-06T23:46:51,22.10000038,4.404545307,20.01000023,81.02873993,1
440782.3419,5018743.227,2021-11-06T23:46:52,22.39999962,4.472727299,20.01000023,80.57510376,1
