X,Y,timestamp,moisture,speed,width,yield,inBoundary
439760.165,5018891.455,2021-11-06T14:12:56,7.699999809,0.981818199,20.01000023,8.10208416,1
439760.7306,5018891.632,2021-11-06T14:12:57,7.699999809,1.322727323,20.01000023,26.06031227,1
439761.3952,5018891.837,2021-11-06T14:12:58,7.699999809,1.540909052,20.01000023,51.62390137,1
439762.1161,5018892.041,2021-11-06T14:12:59,7.699999809,1.5,20.01000023,95.45728302,1
439762.894,5018892.3,2021-11-06T14:13:00,7.699999809,1.813636422,20.01000023,118.4244537,1
439763.7423,5018892.559,2021-11-06T14:13:01,7.699999809,1.725000024,20.01000023,156.7897491,1
439764.6758,5018892.873,2021-11-06T14:13:02,7.900000095,1.765909076,20.01000023,174.1791687,1
439765.6515,5018893.187,2021-11-06T14:13:03,9.100000381,2.127272844,20.01000023,155.8093109,1
439766.6982,5018893.542,2021-11-06T14:13:04,11.69999981,2.440909147,20.01000023,147.7385712,1
439767.7451,5018893.926,2021-11-06T14:13:05,15.10000038,2.502272844,20.01000023,154.7122803,1
439768.8062,5018894.323,2021-11-06T14:13:06,17.89999962,2.529545546,20.01000023,155.8267365,1
439769.8815,5018894.72,2021-11-06T14:13:07,19.89999962,2.549999952,20.01000023,153.7682953,1
439770.9568,5018895.132,2021-11-06T14:13:08,21.29999924,2.597727299,20.01000023,148.3049469,1
439772.1169,5018895.556,2021-11-06T14:13:09,22,2.168181896,20.01000023,177.2345734,1
439773.3197,5018896.023,2021-11-06T14:13:10,22,2.597727299,20.01000023,147.9280701,1
439774.5647,5018896.488,2021-11-06T14:13:11,21.89999962,2.972727299,20.01000023,129.433136,1
439775.8524,5018896.982,2021-11-06T14:13:12,21.89999962,3.109090805,20.01000023,124.5445023,1
439777.1824,5018897.489,2021-11-06T14:13:13,21.89999962,3.156818151,20.01000023,124.9905624,1
439778.5268,5018898.024,2021-11-06T14:13:14,21.89999962,3.24545455,20.01000023,123.0872269,1
439779.8855,5018898.573,2021-11-06T14:13:15,21.70000076,3.265909195,20.01000023,124.1342087,1
439781.2303,5018899.151,2021-11-06T14:13:16,21.70000076,3.286363602,20.01000023,125.6045303,1
439782.5895,5018899.756,2021-11-06T14:13:17,21.60000038,3.313636303,20.01000023,125.4722824,1
439783.9768,5018900.361,2021-11-06T14:13:18,21.70000076,3.375,20.01000023,124.4898529,1
439785.3784,5018900.98,2021-11-06T14:13:19,21.60000038,3.422727346,20.01000023,125.0670471,1
439786.7944,5018901.627,2021-11-06T14:13:20,21.60000038,3.4909091,20.01000023,126.8527527,1
439788.2246,5018902.288,2021-11-06T14:13:21,21.70000076,3.531818151,20.01000023,129.3975983,1
