X,Y,timestamp,moisture,speed,width,yield,inBoundary
440805.4227,5018755.474,2021-11-07T00:30:55,23.79999924,2.372727156,20.01000023,4.031039238,1
440806.5508,5018755.492,2021-11-07T00:30:56,24,2.529545546,20.01000023,10.3708334,1
440807.7349,5018755.481,2021-11-07T00:30:57,24,2.659090996,20.01000023,19.73117638,1
440808.947,5018755.441,2021-11-07T00:30:58,24,2.659090996,20.01000023,30.49363518,1
440810.1444,5018755.346,2021-11-07T00:30:59,24,2.706818104,20.01000023,34.36125183,1
440811.3979,5018755.208,2021-11-07T00:31:00,24,2.815909147,20.01000023,30.48929214,1
440812.3272,5018755.087,2021-11-07T00:31:01,24,1.725000024,20.01000023,41.47587967,1
440809.0254,5018757.787,2021-11-07T00:31:10,24,0.824999988,4,130.1484833,1
440808.8441,5018758,2021-11-07T00:31:11,23.89999962,1.029545426,16.5,25.31597519,1
440808.8989,5018757.831,2021-11-07T00:31:12,23.70000076,1.568181872,3.50999999,87.03981781,1
440810.3566,5018755.414,2021-11-07T00:31:15,23.29999924,4.029545307,4,92.6270752,1
440811.2034,5018754.015,2021-11-07T00:31:16,23.29999924,3.961363554,10.01000023,52.22542572,1
440811.939,5018752.772,2021-11-07T00:31:17,23.29999924,3.088636398,18.5,48.88569641,1
440812.5904,5018751.571,2021-11-07T00:31:18,23,3.088636398,20.01000023,59.45486832,1
440813.2405,5018750.244,2021-11-07T00:31:19,22.70000076,3.286363602,20.01000023,68.64306641,1
440813.9322,5018748.833,2021-11-07T00:31:20,22.5,3.511363745,20.01000023,72.02928162,1
440814.6655,5018747.35,2021-11-07T00:31:21,22.5,3.736363649,20.01000023,71.5970459,1
440815.4544,5018745.783,2021-11-07T00:31:22,22.5,3.913636446,20.01000023,76.43217468,1
440816.3134,5018744.173,2021-11-07T00:31:23,22.5,4.118181705,20.01000023,90.35194397,1
440817.2,5018742.493,2021-11-07T00:31:24,22.5,4.247727394,20.01000023,109.3524017,1
440818.1425,5018740.77,2021-11-07T00:31:25,22.5,4.3840909,20.01000023,122.0378952,1
440819.1271,5018739.018,2021-11-07T00:31:26,22.5,4.493181705,20.01000023,117.4511642,1
440820.1118,5018737.281,2021-11-07T00:31:27,22.5,4.452272892,20.01000023,104.3285522,1
440821.0689,5018735.614,2021-11-07T00:31:28,22.5,4.315908909,20.01000023,93.53784943,1
440821.9287,5018734.088,2021-11-07T00:31:29,22.5,3.913636446,20.01000023,95.69556427,1
440822.6915,5018732.746,2021-11-07T00:31:30,22.5,3.4909091,20.01000023,103.8004684,1
440823.4127,5018731.475,2021-11-07T00:31:31,22.5,3.265909195,20.01000023,103.5052261,1
440824.1061,5018730.246,2021-11-07T00:31:32,22.20000076,3.156818151,20.01000023,92.02945709,1
440824.8136,5018729.017,2021-11-07T00:31:33,21,3.12954545,20.01000023,73.66796112,1
440825.438,5018727.943,2021-11-07T00:31:34,20.5,2.256818295,20.01000023,75.16736603,1
440825.7989,5018727.335,2021-11-07T00:31:35,20.39999962,0.715909064,12.01000023,267.4034424,1
440814.8048,5018747.166,2021-11-07T00:31:49,22.39999962,3.531818151,0.980000019,42.23334885,1
440815.2634,5018746.46,2021-11-07T00:31:50,22.5,3.715909004,2.49000001,21.0375042,1
440815.9734,5018745.497,2021-11-07T00:31:51,22.5,3.688636303,2.49000001,37.08783722,1
440816.8796,5018744.407,2021-11-07T00:31:52,22.5,3.177272797,2.99000001,71.71351624,1
440817.9121,5018743.259,2021-11-07T00:31:53,22.5,3.443181753,4.989999771,87.8010788,1
440819.0284,5018742.026,2021-11-07T00:31:54,22.5,3.736363649,6,136.7536163,1
440820.2286,5018740.722,2021-11-07T00:31:55,22.5,3.981818199,7.510000229,165.9882965,1
440821.4703,5018739.334,2021-11-07T00:31:56,21.79999924,4.186363697,8.989999771,161.7814636,1
440822.7538,5018737.888,2021-11-07T00:31:57,21,4.315908909,10.01000023,151.5624542,1
440824.0512,5018736.415,2021-11-07T00:31:58,21.10000038,4.3840909,12.01000023,127.023819,1
440825.3345,5018734.955,2021-11-07T00:31:59,21.29999924,4.363636494,12.5,125.9296265,1
440826.6179,5018733.496,2021-11-07T00:32:00,21.29999924,4.363636494,14.98999977,108.7887497,1
440827.8592,5018732.065,2021-11-07T00:32:01,21.20000076,4.247727394,14.98999977,107.2368393,1
440828.9891,5018730.776,2021-11-07T00:32:02,21.29999924,3.313636303,16.98999977,99.18634796,1
440829.8817,5018729.742,2021-11-07T00:32:03,22,2.099999905,19,92.06189728,1
440830.5233,5018729.005,2021-11-07T00:32:04,22.39999962,1.029545426,20.01000023,120.6247025,1
440827.3457,5018729.92,2021-11-07T00:32:12,21.89999962,0.981818199,8.010000229,87.29963684,1
440827.4446,5018729.947,2021-11-07T00:32:13,22,1.881818175,8.5,55.11470413,1
440829.3052,5018729.902,2021-11-07T00:32:15,21.89999962,3.777272701,2.49000001,307.6254883,1
440830.6864,5018729.861,2021-11-07T00:32:16,21.60000038,3.24545455,8.5,137.407135,1
440832.1804,5018729.819,2021-11-07T00:32:17,21.29999924,3.313636303,17.48999977,69.06564331,1
440833.3787,5018729.807,2021-11-07T00:32:18,21.20000076,1.922727227,20.01000023,102.8841324,1
440834.0131,5018729.802,2021-11-07T00:32:19,21.20000076,0.559090912,12.01000023,574.7677002,1
440829.6216,5018729.07,2021-11-07T00:32:26,21.29999924,1.363636374,20.01000023,19.92134857,1
440829.9609,5018729.165,2021-11-07T00:32:27,21.29999924,2.304545403,2,128.6582642,1
440830.7812,5018729.438,2021-11-07T00:32:28,21.39999962,3.334090948,1.50999999,147.0470734,1
440831.8563,5018729.836,2021-11-07T00:32:29,21.39999962,3.109090805,2.49000001,153.0023041,1
440832.875,5018730.22,2021-11-07T00:32:30,21.39999962,2.304545403,4.489999771,205.0955963,1
440833.7803,5018730.534,2021-11-07T00:32:31,21.39999962,2.038636446,8.5,213.6102448,1
440834.6714,5018730.849,2021-11-07T00:32:32,21.39999962,2.099999905,18.01000023,147.4568481,1
440835.6613,5018731.177,2021-11-07T00:32:33,21.29999924,2.325000048,20.01000023,154.0173492,1
440836.8496,5018731.602,2021-11-07T00:32:34,21,2.843181849,20.01000023,145.6091919,1
440838.222,5018732.123,2021-11-07T00:32:35,20.89999962,3.265909195,20.01000023,142.1228333,1
440839.7223,5018732.755,2021-11-07T00:32:36,21.79999924,3.668181896,20.01000023,137.8075409,1
440841.3364,5018733.485,2021-11-07T00:32:37,22.29999924,3.934090853,20.01000023,138.827179,1
440843.0077,5018734.312,2021-11-07T00:32:38,22.39999962,4.186363697,20.01000023,141.3451538,1
440844.7217,5018735.181,2021-11-07T00:32:39,22.5,4.295454502,20.01000023,148.9011993,1
440846.4501,5018736.078,2021-11-07T00:32:40,22.5,4.336363792,20.01000023,156.469635,1
440848.1928,5018736.99,2021-11-07T00:32:41,22.5,4.3840909,20.01000023,161.4228516,1
440849.9213,5018737.901,2021-11-07T00:32:42,22.5,4.3840909,20.01000023,163.6417236,1
440851.6497,5018738.798,2021-11-07T00:32:43,22.5,4.3840909,20.01000023,158.6492615,1
440853.3781,5018739.695,2021-11-07T00:32:44,22.5,4.363636494,20.01000023,144.3453522,1
440855.1062,5018740.564,2021-11-07T00:32:45,22.5,4.295454502,20.01000023,127.3869553,1
440856.8202,5018741.433,2021-11-07T00:32:46,22.5,4.295454502,20.01000023,114.9313431,1
440858.5341,5018742.288,2021-11-07T00:32:47,22.39999962,4.295454502,20.01000023,113.9458542,1
440860.2058,5018743.158,2021-11-07T00:32:48,22.10000038,4.206818104,20.01000023,117.9586029,1
440861.8071,5018744.028,2021-11-07T00:32:49,21.89999962,4.070454597,20.01000023,115.6003723,1
440863.2386,5018744.844,2021-11-07T00:32:50,21.70000076,3.559090853,20.01000023,111.837532,1
440864.4151,5018745.521,2021-11-07T00:32:51,21.70000076,2.168181896,20.01000023,134.853714,1
440865.1521,5018745.936,2021-11-07T00:32:52,21.79999924,1.097727299,8.010000229,379.7394104,1
440848.6462,5018737.238,2021-11-07T00:33:05,22.5,4.295454502,0.49000001,323.6842041,1
440849.7538,5018738.085,2021-11-07T00:33:06,22.5,4.315908909,2.49000001,131.3182373,1
440851.0181,5018739.099,2021-11-07T00:33:07,22.5,3.647727251,2.99000001,249.8579254,1
440852.3399,5018740.239,2021-11-07T00:33:08,22.5,3.913636446,4.989999771,214.2969971,1
440853.7048,5018741.462,2021-11-07T00:33:09,22.20000076,4.090909004,6.989999771,182.7945862,1
440855.0699,5018742.714,2021-11-07T00:33:10,21.89999962,4.138636589,8.5,164.4954224,1
440856.4494,5018743.994,2021-11-07T00:33:11,21.79999924,4.206818104,10.01000023,144.5897675,1
440857.8288,5018745.26,2021-11-07T00:33:12,21.79999924,4.227272511,12.5,118.0149841,1
440859.2227,5018746.568,2021-11-07T00:33:13,21.79999924,4.247727394,14.01000023,102.3129578,1
440860.6022,5018747.847,2021-11-07T00:33:14,22,4.227272511,14.98999977,86.56606293,1
440861.8967,5018749.086,2021-11-07T00:33:15,22.20000076,3.845454454,16.98999977,74.02368164,1
440862.8926,5018750.046,2021-11-07T00:33:16,22.5,1.902272701,20.01000023,115.0591888,1
440860.3286,5018745.728,2021-11-07T00:33:25,22.79999924,1.5,8.010000229,56.48310089,1
440861.1136,5018748.264,2021-11-07T00:33:28,23.5,3.197727203,2,285.4109192,1
440861.3802,5018749.625,2021-11-07T00:33:29,23.60000038,3.12954545,6,160.9527283,1
